t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z
 1687176624.435682	1687187196.030560	9.672216	-23.631774	-0.858397	0.237657	0.237520	0.213250	0.002075	-0.013291	0.441695	0.224107	0.215752	0.218486	
 1687176624.746128	1687187196.322300	9.757327	-23.667106	-0.845814	0.238249	0.238192	0.213958	-0.006102	-0.016019	0.437699	0.217804	0.228259	0.219568	
 1687176625.050336	1687187196.627424	9.855677	-23.680895	-0.855709	0.238145	0.238087	0.213914	-0.005336	-0.015635	0.436843	0.218917	0.231873	0.219254	
 1687176625.358250	1687187196.948670	9.943185	-23.695583	-0.868879	0.235120	0.235040	0.211523	-0.014868	-0.014088	0.429794	0.216100	0.227529	0.216889	
 1687176625.661734	1687187197.249978	10.017602	-23.682615	-0.866897	0.236964	0.236719	0.213005	-0.035050	-0.015037	0.472021	0.228633	0.222584	0.218012	
 1687176625.967945	1687187197.559642	10.101379	-23.710282	-0.871870	0.228634	0.228813	0.207649	-0.018108	-0.010864	0.420238	0.276149	0.214614	0.212442	
 1687176626.272069	1687187197.868236	10.203729	-23.731672	-0.883244	0.229589	0.229256	0.208610	-0.011691	-0.010493	0.437854	0.232209	0.213570	0.212716	
 1687176626.575146	1687187198.174025	10.297068	-23.753899	-0.882782	0.236845	0.236789	0.213125	-0.021049	-0.014298	0.474326	0.224375	0.218710	0.218077	
 1687176626.878470	1687187198.469577	10.393352	-23.779909	-0.893226	0.236006	0.235881	0.212350	-0.012102	-0.019552	0.459580	0.243051	0.221144	0.217366	
 1687176627.188354	1687187198.775431	10.487476	-23.800731	-0.905020	0.228596	0.228494	0.207050	-0.005722	-0.022515	0.456612	0.218228	0.225335	0.212239	
 1687176627.491366	1687187199.110866	10.584441	-23.826025	-0.899054	0.235639	0.235639	0.211750	-0.005755	-0.022092	0.455081	0.216716	0.239620	0.217034	
 1687176627.796465	1687187199.375617	10.680250	-23.836597	-0.895592	0.235115	0.235131	0.211837	-0.001759	-0.023141	0.457695	0.216991	0.242836	0.217174	
 1687176628.102636	1687187199.688644	10.772731	-23.850219	-0.902745	0.234359	0.234400	0.211268	0.002846	-0.023777	0.442509	0.215296	0.248089	0.216745	
 1687176628.409189	1687187200.001283	10.868143	-23.866225	-0.908283	0.230624	0.230632	0.208505	0.001692	-0.022605	0.429908	0.214595	0.250575	0.213914	
 1687176628.714013	1687187200.308398	10.951748	-23.887457	-0.907655	0.235179	0.235151	0.211401	-0.018220	-0.025151	0.454961	0.216562	0.250727	0.216994	
 1687176629.022974	1687187200.609333	11.042477	-23.927792	-0.896857	0.235543	0.235487	0.211681	-0.016994	-0.014974	0.454529	0.238947	0.250287	0.217246	
 1687176629.330346	1687187200.911925	11.128304	-23.959393	-0.880484	0.233248	0.233206	0.210504	-0.015852	-0.014977	0.461855	0.240939	0.226276	0.215868	
 1687176629.633000	1687187201.231417	11.219371	-23.980843	-0.876016	0.237873	0.237844	0.213439	-0.007517	-0.020410	0.452851	0.242551	0.231278	0.219091	
 1687176629.939084	1687187201.512312	11.313559	-23.996302	-0.880474	0.234615	0.234638	0.211174	0.000166	-0.020709	0.434156	0.218667	0.245918	0.216960	
 1687176630.246297	1687187201.846170	11.401562	-24.039679	-0.880665	0.234889	0.234862	0.211336	-0.008778	-0.008073	0.431860	0.215080	0.242541	0.217049	
