t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687529223.506768	1687529223.473845	17.065076	-22.053417	-1.091309	0.300206	0.299412	0.246859	-0.042424	-0.095015	1.052986	0.423488	0.902406	0.253409	0.051695	-0.005541	-0.502695	0.862899	
 1687529223.911496	1687529223.876579	17.125939	-22.106752	-1.094413	0.296857	0.296441	0.245427	-0.022317	-0.084960	1.059196	0.397495	0.891296	0.251943	0.042279	-0.011831	-0.505108	0.861939	
 1687529224.318890	1687529224.280079	17.193132	-22.155019	-1.079341	0.288204	0.287587	0.242209	-0.077853	-0.105214	1.024760	0.297651	0.824929	0.248576	0.064848	0.008113	-0.490988	0.868712	
 1687529224.722856	1687529224.682664	17.263511	-22.188704	-1.098268	0.293897	0.293394	0.244353	-0.036433	-0.093778	1.051254	0.650003	0.930545	0.251120	0.049667	-0.007775	-0.501859	0.863487	
 1687529225.126583	1687529225.085477	17.328688	-22.226633	-1.098335	0.293812	0.293399	0.244568	-0.054202	-0.091184	1.042185	0.369126	0.899137	0.251055	0.052989	0.000796	-0.498199	0.865442	
 1687529225.531004	1687529225.490144	17.394413	-22.271787	-1.093734	0.297198	0.296696	0.245682	-0.067849	-0.112429	1.045385	0.489590	0.843115	0.252543	0.065561	0.001311	-0.499791	0.863660	
 1687529225.935337	1687529225.892781	17.455556	-22.324830	-1.096297	0.287148	0.286966	0.241552	-0.012617	-0.094722	1.049199	0.497232	0.829457	0.247928	0.044132	-0.018258	-0.500553	0.864387	
 1687529226.339905	1687529226.296878	17.524775	-22.372611	-1.090904	0.294795	0.295024	0.245767	-0.043096	-0.104249	1.053282	0.266415	0.756672	0.251748	0.055846	-0.007580	-0.502803	0.862562	
 1687529226.745761	1687529226.700763	17.589680	-22.438540	-1.108938	0.296996	0.296949	0.246007	-0.027156	-0.102087	1.043165	0.363636	0.739682	0.252182	0.050989	-0.013662	-0.498159	0.865478	
 1687529227.153928	1687529227.074082	17.643698	-22.501090	-1.115350	0.289766	0.289736	0.242289	-0.033809	-0.101662	1.041845	0.299045	0.713058	0.248514	0.052466	-0.010640	-0.497711	0.865689	
 1687529227.558583	1687529227.477165	17.705308	-22.550162	-1.101556	0.295998	0.295795	0.244441	-0.046921	-0.099532	1.067585	0.328730	0.737324	0.251076	0.054734	-0.005134	-0.509037	0.858987	
 1687529227.965538	1687529227.879820	17.751715	-22.613630	-1.074431	0.294914	0.294452	0.244617	-0.030086	-0.108051	1.014120	0.386199	0.697830	0.251221	0.054494	-0.013089	-0.485556	0.872407	
 1687529228.372805	1687529228.283649	17.815678	-22.645887	-1.059489	0.298698	0.298302	0.246773	-0.055333	-0.104918	1.054363	0.318420	0.777801	0.253258	0.059196	-0.002496	-0.503469	0.861980	
 1687529228.779484	1687529228.686793	17.867295	-22.694375	-1.074527	0.301834	0.301007	0.248450	-0.048364	-0.104838	1.009023	0.433673	0.728078	0.254620	0.057526	-0.004181	-0.483684	0.873340	
 1687529229.183099	1687529229.090771	17.909900	-22.740210	-1.101315	0.298752	0.298194	0.247089	-0.049367	-0.103191	1.023249	0.389410	0.706174	0.252538	0.057023	-0.003750	-0.489904	0.869902	
 1687529229.588693	1687529229.495040	17.946382	-22.796496	-1.102564	0.298243	0.297584	0.246168	-0.051357	-0.088285	1.020742	0.398370	0.702960	0.252023	0.051022	0.000832	-0.488853	0.870873	
 1687529229.992663	1687529229.898327	17.983289	-22.867459	-1.089468	0.299857	0.299097	0.247090	-0.045772	-0.091275	1.019802	0.431825	0.648100	0.253251	0.050966	-0.002310	-0.488366	0.871146	
 1687529230.403033	1687529230.403969	18.030482	-22.908104	-1.088121	0.293722	0.293231	0.244650	-0.036045	-0.093139	1.020696	0.399372	0.672730	0.250871	0.049408	-0.007028	-0.488604	0.871077	
 1687529230.808499	1687529230.807002	18.066526	-22.948044	-1.100914	0.301028	0.300506	0.247607	-0.041280	-0.084595	0.997039	0.362331	0.733078	0.253893	0.046989	-0.002103	-0.478363	0.876902	
 1687529231.215117	1687529231.213102	18.092130	-23.003834	-1.118402	0.299302	0.298680	0.246696	-0.040452	-0.078191	1.004895	0.397919	0.691879	0.252768	0.043980	-0.001107	-0.481798	0.875177	
 1687529231.623272	1687529231.617629	18.120498	-23.052947	-1.119913	0.298121	0.297618	0.245812	-0.029663	-0.080898	1.007749	0.401054	0.662750	0.252154	0.042563	-0.006545	-0.482900	0.874616	
 1687529232.026222	1687529232.020481	18.158018	-23.111633	-1.106643	0.297432	0.297149	0.245872	-0.034041	-0.082548	1.007751	0.349739	0.731472	0.252519	0.044339	-0.005028	-0.482957	0.874506	
 1687529232.431838	1687529232.423924	18.200623	-23.180935	-1.106451	0.296223	0.296139	0.245726	-0.035855	-0.078338	1.002760	0.365465	0.710483	0.252371	0.042944	-0.003110	-0.480806	0.875769	
 1687529232.837400	1687529232.826694	18.248945	-23.317517	-1.119391	0.298677	0.298768	0.246036	-0.004121	-0.084451	0.978522	0.383195	0.700571	0.253228	0.038228	-0.018022	-0.469631	0.881851	
 1687529233.240909	1687529233.221846	18.290793	-23.431224	-1.126583	0.298359	0.298698	0.246421	-0.027639	-0.081813	0.994737	0.258350	0.789434	0.253362	0.042524	-0.007375	-0.477167	0.877752	
