t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687526360.161557	1687526360.137367	13.559943	-25.033393	-0.941679	0.287440	0.287498	0.240741	-0.035851	-0.026360	1.637599	0.367513	0.271079	0.248019	0.022091	0.002619	-0.730307	0.682757	
 1687526360.565274	1687526360.540198	13.555507	-25.028913	-0.930447	0.299698	0.299745	0.245927	-0.039647	-0.042100	1.623900	0.325171	0.268611	0.253442	0.028861	-0.001634	-0.725614	0.687494	
 1687526360.969379	1687526360.943206	13.553149	-25.039093	-0.919094	0.297081	0.297102	0.245344	-0.038343	-0.027707	1.558033	0.350968	0.307195	0.252976	0.023323	0.003909	-0.702572	0.711219	
 1687526361.378258	1687526361.346745	13.557508	-25.087046	-0.915650	0.293085	0.293161	0.243500	-0.034421	-0.019245	1.551959	0.349150	0.273175	0.251044	0.018920	0.005544	-0.700398	0.713481	
 1687526361.781761	1687526361.750310	13.552649	-25.117032	-0.905608	0.299062	0.299038	0.245737	-0.043290	-0.036436	1.492766	0.345234	0.263440	0.253387	0.028064	0.003520	-0.679006	0.733588	
 1687526362.189802	1687526362.153046	13.552964	-25.180393	-0.895651	0.297505	0.297506	0.245329	-0.033561	-0.032472	1.452264	0.397044	0.302452	0.252827	0.023278	0.001767	-0.664005	0.747363	
 1687526362.595387	1687526362.556999	13.556229	-25.180132	-0.885786	0.298321	0.298231	0.245958	-0.082022	-0.038851	1.425008	0.350864	0.298624	0.253594	0.041484	0.018332	-0.653660	0.755428	
 1687526362.999366	1687526362.963882	13.534395	-25.175354	-0.898906	0.293908	0.293812	0.243847	-0.068094	-0.015776	1.375025	0.757132	0.316819	0.251293	0.027694	0.021303	-0.634437	0.772185	
 1687526363.404043	1687526363.368011	13.510076	-25.193225	-0.910178	0.299181	0.299151	0.245666	-0.008700	-0.013662	1.308274	0.660730	0.267588	0.253425	0.008068	-0.000705	-0.608478	0.793529	
 1687526363.708298	1687526363.672120	13.538273	-25.193753	-0.885349	0.239490	0.239668	0.214441	-0.042467	-0.029516	1.326870	0.227153	0.227040	0.220721	0.024698	0.007641	-0.615868	0.787425	
